Catégorie ou type de logement,2010,%,2015,%,2021,%,code_insee,Ville
Logements vacants,29 763,"7,1",33 219,"7,6",36 878,"8,0",13055,marseille
,,,,,,,13055,marseille
Maisons,69 751,"16,7",69 785,"16,0",68 887,"14,9",13055,marseille
Appartements,342 949,"82,3",362 426,"83,2",389 948,"84,3",13055,marseille
Ensemble,23 435,"100,0",24 979,"100,0",25 948,"100,0",13056,martigues
Résidences principales,20 541,"87,7",22 108,"88,5",22 490,"86,7",13056,martigues
Résidences secondaires et logements occasionnels,1 798,"7,7",1 515,"6,1",1 779,"6,9",13056,martigues
Logements vacants,1 096,"4,7",1 357,"5,4",1 679,"6,5",13056,martigues
,,,,,,,13056,martigues
Maisons,9 949,"42,5",9 839,"39,4",10 129,"39,0",13056,martigues
Appartements,13 094,"55,9",14 947,"59,8",15 623,"60,2",13056,martigues
Ensemble,10 683,"100,0",11 417,"100,0",11 960,"100,0",13063,miramas
Résidences principales,9 914,"92,8",10 533,"92,3",11 162,"93,3",13063,miramas
Résidences secondaires et logements occasionnels,42,"0,4",80,"0,7",82,"0,7",13063,miramas
Logements vacants,727,"6,8",805,"7,0",716,"6,0",13063,miramas
,,,,,,,13063,miramas
Maisons,5 116,"47,9",5 289,"46,3",5 531,"46,2",13063,miramas
Appartements,5 528,"51,7",6 100,"53,4",6 392,"53,4",13063,miramas
Ensemble,7 992,"100,0",9 206,"100,0",9 960,"100,0",13071,les-pennes-mirabeau
Résidences principales,7 711,"96,5",8 742,"95,0",9 200,"92,4",13071,les-pennes-mirabeau
Résidences secondaires et logements occasionnels,16,"0,2",52,"0,6",138,"1,4",13071,les-pennes-mirabeau
Logements vacants,264,"3,3",412,"4,5",622,"6,2",13071,les-pennes-mirabeau
,,,,,,,13071,les-pennes-mirabeau
Maisons,6 493,"81,2",7 142,"77,6",7 320,"73,5",13071,les-pennes-mirabeau
Appartements,1 482,"18,5",2 027,"22,0",2 526,"25,4",13071,les-pennes-mirabeau
Ensemble,19 924,"100,0",21 642,"100,0",22 956,"100,0",13103,salon-de-provence
Résidences principales,18 079,"90,7",19 255,"89,0",20 254,"88,2",13103,salon-de-provence
Résidences secondaires et logements occasionnels,240,"1,2",280,"1,3",237,"1,0",13103,salon-de-provence
Logements vacants,1 605,"8,1",2 108,"9,7",2 464,"10,7",13103,salon-de-provence
,,,,,,,13103,salon-de-provence
Maisons,7 935,"39,8",7 807,"36,1",8 199,"35,7",13103,salon-de-provence
Appartements,11 873,"59,6",13 711,"63,4",14 670,"63,9",13103,salon-de-provence
Ensemble,14 118,"100,0",14 403,"100,0",15 643,"100,0",13117,vitrolles
Résidences principales,13 586,"96,2",13 532,"94,0",14 414,"92,1",13117,vitrolles
Résidences secondaires et logements occasionnels,74,"0,5",98,"0,7",207,"1,3",13117,vitrolles
Logements vacants,458,"3,2",772,"5,4",1 022,"6,5",13117,vitrolles
,,,,,,,13117,vitrolles
Maisons,6 054,"42,9",6 348,"44,1",6 654,"42,5",13117,vitrolles
Appartements,7 803,"55,3",7 803,"54,2",8 826,"56,4",13117,vitrolles
Ensemble,61 980,"100,0",64 930,"100,0",69 861,"100,0",14118,caen
Résidences principales,58 157,"93,8",57 578,"88,7",61 313,"87,8",14118,caen
Résidences secondaires et logements occasionnels,503,"0,8",1 429,"2,2",2 509,"3,6",14118,caen
Logements vacants,3 321,"5,4",5 922,"9,1",6 038,"8,6",14118,caen
,,,,,,,14118,caen
Maisons,11 091,"17,9",11 134,"17,1",10 665,"15,3",14118,caen
Appartements,50 167,"80,9",52 943,"81,5",57 563,"82,4",14118,caen
Ensemble,10 667,"100,0",11 214,"100,0",11 960,"100,0",14327,herouville-saint-clair
Résidences principales,9 937,"93,2",10 468,"93,4",11 096,"92,8",14327,herouville-saint-clair
Résidences secondaires et logements occasionnels,121,"1,1",100,"0,9",142,"1,2",14327,herouville-saint-clair
Logements vacants,609,"5,7",645,"5,8",722,"6,0",14327,herouville-saint-clair
,,,,,,,14327,herouville-saint-clair
Maisons,2 367,"22,2",2 387,"21,3",2 345,"19,6",14327,herouville-saint-clair
Appartements,8 169,"76,6",8 749,"78,0",9 448,"79,0",14327,herouville-saint-clair
Ensemble,16 812,"100,0",17 032,"100,0",17 438,"100,0",15014,aurillac
Résidences principales,14 200,"84,5",13 900,"81,6",14 194,"81,4",15014,aurillac
Résidences secondaires et logements occasionnels,641,"3,8",871,"5,1",790,"4,5",15014,aurillac
Logements vacants,1 970,"11,7",2 261,"13,3",2 454,"14,1",15014,aurillac
,,,,,,,15014,aurillac
Maisons,4 880,"29,0",5 027,"29,5",4 899,"28,1",15014,aurillac
Appartements,11 882,"70,7",11 970,"70,3",12 504,"71,7",15014,aurillac
Ensemble,25 434,"100,0",26 106,"100,0",26 455,"100,0",16015,angouleme
Résidences principales,21 853,"85,9",22 568,"86,4",23 175,"87,6",16015,angouleme
Résidences secondaires et logements occasionnels,413,"1,6",522,"2,0",716,"2,7",16015,angouleme
Logements vacants,3 169,"12,5",3 016,"11,6",2 564,"9,7",16015,angouleme
,,,,,,,16015,angouleme
Maisons,11 162,"43,9",11 605,"44,5",11 243,"42,5",16015,angouleme
Appartements,14 121,"55,5",14 171,"54,3",14 907,"56,3",16015,angouleme
Ensemble,14 942,"100,0",15 344,"100,0",15 874,"100,0",17299,rochefort
Résidences principales,12 465,"83,4",12 458,"81,2",12 587,"79,3",17299,rochefort
Résidences secondaires et logements occasionnels,1 002,"6,7",1 310,"8,5",1 785,"11,2",17299,rochefort
Logements vacants,1 475,"9,9",1 576,"10,3",1 502,"9,5",17299,rochefort
,,,,,,,17299,rochefort
Maisons,7 283,"48,7",7 217,"47,0",7 398,"46,6",17299,rochefort
Appartements,7 620,"51,0",8 098,"52,8",8 393,"52,9",17299,rochefort
Ensemble,48 246,"100,0",50 760,"100,0",55 238,"100,0",17300,la-rochelle
Résidences principales,40 544,"84,0",42 169,"83,1",44 130,"79,9",17300,la-rochelle
Résidences secondaires et logements occasionnels,3 747,"7,8",5 400,"10,6",7 510,"13,6",17300,la-rochelle
Logements vacants,3 955,"8,2",3 190,"6,3",3 598,"6,5",17300,la-rochelle
,,,,,,,17300,la-rochelle
Maisons,15 920,"33,0",16 194,"31,9",16 807,"30,4",17300,la-rochelle
Appartements,32 013,"66,4",34 042,"67,1",37 785,"68,4",17300,la-rochelle
Ensemble,15 145,"100,0",15 389,"100,0",15 855,"100,0",17415,saintes
Résidences principales,13 251,"87,5",13 455,"87,4",14 058,"88,7",17415,saintes
Résidences secondaires et logements occasionnels,257,"1,7",398,"2,6",397,"2,5",17415,saintes
Logements vacants,1 636,"10,8",1 536,"10,0",1 401,"8,8",17415,saintes
,,,,,,,17415,saintes
Maisons,9 018,"59,5",9 053,"58,8",9 188,"58,0",17415,saintes
Appartements,6 055,"40,0",6 265,"40,7",6 591,"41,6",17415,saintes
Ensemble,36 285,"100,0",38 416,"100,0",38 361,"100,0",18033,bourges
Résidences principales,32 280,"89,0",32 557,"84,7",32 296,"84,2",18033,bourges
Résidences secondaires et logements occasionnels,606,"1,7",853,"2,2",1 128,"2,9",18033,bourges
Logements vacants,3 399,"9,4",5 006,"13,0",4 938,"12,9",18033,bourges
,,,,,,,18033,bourges
Maisons,15 963,"44,0",17 336,"45,1",16 812,"43,8",18033,bourges
Appartements,20 051,"55,3",20 848,"54,3",21 341,"55,6",18033,bourges
Ensemble,15 400,"100,0",15 012,"100,0",15 146,"100,0",18279,vierzon
Résidences principales,12 664,"82,2",12 673,"84,4",12 426,"82,0",18279,vierzon
Résidences secondaires et logements occasionnels,371,"2,4",281,"1,9",263,"1,7",18279,vierzon
Logements vacants,2 365,"15,4",2 057,"13,7",2 457,"16,2",18279,vierzon
,,,,,,,18279,vierzon
Maisons,9 967,"64,7",10 002,"66,6",10 053,"66,4",18279,vierzon
Appartements,5 363,"34,8",4 992,"33,3",5 062,"33,4",18279,vierzon
Ensemble,28 285,"100,0",28 270,"100,0",29 036,"100,0",19031,brive-la-gaillarde
Résidences principales,24 328,"86,0",23 829,"84,3",24 558,"84,6",19031,brive-la-gaillarde
Résidences secondaires et logements occasionnels,747,"2,6",726,"2,6",1 187,"4,1",19031,brive-la-gaillarde
Logements vacants,3 210,"11,4",3 715,"13,1",3 290,"11,3",19031,brive-la-gaillarde
,,,,,,,19031,brive-la-gaillarde
Maisons,13 444,"47,5",13 555,"47,9",13 893,"47,8",19031,brive-la-gaillarde
Appartements,14 618,"51,7",14 572,"51,5",14 827,"51,1",19031,brive-la-gaillarde
Ensemble,12 041,"100,0",11 980,"100,0",12 241,"100,0",21054,beaune
Résidences principales,10 714,"89,0",10 525,"87,9",10 301,"84,2",21054,beaune
Résidences secondaires et logements occasionnels,316,"2,6",496,"4,1",670,"5,5",21054,beaune
Logements vacants,1 011,"8,4",959,"8,0",1 270,"10,4",21054,beaune
,,,,,,,21054,beaune
Maisons,4 827,"40,1",4 763,"39,8",4 704,"38,4",21054,beaune
Appartements,6 912,"57,4",7 030,"58,7",7 420,"60,6",21054,beaune
Ensemble,88 533,"100,0",91 304,"100,0",98 870,"100,0",21231,dijon
Résidences principales,79 581,"89,9",82 093,"89,9",87 936,"88,9",21231,dijon
Résidences secondaires et logements occasionnels,1 661,"1,9",2 252,"2,5",3 620,"3,7",21231,dijon
Logements vacants,7 291,"8,2",6 959,"7,6",7 314,"7,4",21231,dijon
,,,,,,,21231,dijon
Maisons,14 046,"15,9",13 959,"15,3",14 117,"14,3",21231,dijon
